,,,"Parkdale--High Park [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language spoken most often at home","            Amharic",,     185,,      90,,     100,,    5625,,    2540,,    3085,
"Language spoken most often at home","            Arabic",,     265,,     140,,     125,,   94195,,   46505,,   47695,
"Language spoken most often at home","            Assyrian Neo-Aramaic",,       0,,       0,,       0,,    9515,,    4595,,    4920,
"Language spoken most often at home","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,    2915,,    1410,,    1500,
"Language spoken most often at home","            Harari",,      10,,       0,,       5,,     555,,     250,,     305,
"Language spoken most often at home","            Hebrew",,      15,,       5,,       5,,    4850,,    2505,,    2345,
"Language spoken most often at home","            Maltese",,     125,,      65,,      70,,    1090,,     505,,     580,
"Language spoken most often at home","            Tigrigna",,      90,,      35,,      60,,    3920,,    1805,,    2115,
"Language spoken most often at home","            Semitic languages; n.i.e.",,       5,,       0,,       0,,     755,,     360,,     395,
"Language spoken most often at home","          Afro-Asiatic languages; n.i.e.",,      10,,       5,,       5,,     245,,     115,,     125,
"Language spoken most often at home","        Austro-Asiatic languages",,     685,,     320,,     370,,   50245,,   23105,,   27140,
"Language spoken most often at home","          Khmer (Cambodian)",,       0,,       5,,       0,,    3770,,    1650,,    2120,
"Language spoken most often at home","          Vietnamese",,     685,,     310,,     370,,   46435,,   21435,,   25000,
"Language spoken most often at home","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      40,,      20,,      20,
"Language spoken most often at home","        Austronesian languages",,     700,,     280,,     415,,   85370,,   36525,,   48845,
"Language spoken most often at home","          Bikol",,       0,,       0,,       0,,      90,,      35,,      55,
"Language spoken most often at home","          Cebuano",,      15,,      10,,      10,,    2325,,    1020,,    1315,
"Language spoken most often at home","          Fijian",,       0,,       0,,       0,,      15,,      10,,      10,
"Language spoken most often at home","          Hiligaynon",,      10,,       5,,       5,,     910,,     385,,     530,
"Language spoken most often at home","          Ilocano",,      40,,      20,,      25,,    4100,,    1780,,    2320,
"Language spoken most often at home","          Malagasy",,       0,,       0,,       0,,      35,,      15,,      20,
"Language spoken most often at home","          Malay",,       5,,       0,,       5,,    1810,,     860,,     945,
"Language spoken most often at home","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,     445,,     200,,     250,
"Language spoken most often at home","          Pangasinan",,       0,,       0,,       0,,      90,,      40,,      50,
"Language spoken most often at home","          Tagalog (Pilipino; Filipino)",,     620,,     245,,     370,,   75070,,   31965,,   43105,
"Language spoken most often at home","          Waray-Waray",,       0,,       0,,       0,,      90,,      35,,      55,
"Language spoken most often at home","          Austronesian languages; n.i.e.",,       0,,       0,,       0,,     380,,     175,,     200,
"Language spoken most often at home","        Creole languages",,      15,,       5,,       5,,    5325,,    2355,,    2970,
"Language spoken most often at home","          Haitian Creole",,       0,,       5,,       0,,     355,,     165,,     190,
"Language spoken most often at home","          Creole; n.o.s.",,      10,,       5,,       0,,    3995,,    1735,,    2255,
"Language spoken most often at home","          Creole languages; n.i.e.",,       0,,       0,,       0,,     975,,     455,,     520,
"Language spoken most often at home","        Dravidian languages",,     360,,     170,,     190,,   96250,,   46575,,   49680,
"Language spoken most often at home","          Kannada",,       0,,       0,,       0,,    1060,,     540,,     520,
"Language spoken most often at home","          Malayalam",,      40,,      15,,      15,,    8760,,    4460,,    4295,
"Language spoken most often at home","          Tamil",,     275,,     120,,     150,,   80600,,   38460,,   42140,
"Language spoken most often at home","          Telugu",,      45,,      30,,      20,,    5705,,    3050,,    2655,
"Language spoken most often at home","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,     125,,      55,,      70,
"Language spoken most often at home","        Hmong-Mien languages",,       0,,       0,,       0,,     200,,      95,,     105,
"Language spoken most often at home","        Indo-European languages",,    8490,,    3760,,    4730,,  978300,,  469640,,  508670,
"Language spoken most often at home","          Albanian",,      55,,      30,,      30,,    9190,,    4580,,    4605,
"Language spoken most often at home","          Armenian",,      20,,       5,,      15,,    8630,,    4065,,    4560,
"Language spoken most often at home","          Balto-Slavic languages",,    4960,,    2130,,    2825,,  192945,,   90585,,  102365,
"Language spoken most often at home","            Baltic languages",,     260,,      90,,     175,,    2305,,     950,,    1355,
"Language spoken most often at home","              Latvian",,      85,,      30,,      55,,     860,,     350,,     515,
"Language spoken most often at home","              Lithuanian",,     175,,      60,,     115,,    1440,,     600,,     840,
"Language spoken most often at home","            Slavic languages",,    4695,,    2040,,    2655,,  190645,,   89635,,  101005,
"Language spoken most often at home","              Belarusan",,       5,,       0,,       5,,     175,,      80,,      90,
"Language spoken most often at home","              Bosnian",,      20,,       5,,      10,,    3220,,    1595,,    1620,
"Language spoken most often at home","              Bulgarian",,      65,,      30,,      35,,    4830,,    2350,,    2480,
"Language spoken most often at home","              Croatian",,     185,,      85,,      95,,   11125,,    5275,,    5855,
"Language spoken most often at home","              Czech",,      85,,      45,,      40,,    3070,,    1480,,    1595,
"Language spoken most often at home","              Macedonian",,      20,,      10,,      10,,    6255,,    2965,,    3285,
"Language spoken most often at home","              Polish",,    1685,,     685,,     995,,   52555,,   24510,,   28045,
"Language spoken most often at home","              Russian",,     975,,     435,,     540,,   63570,,   29655,,   33920,
"Language spoken most often at home","              Serbian",,     670,,     325,,     345,,   23175,,   11335,,   11840,
"Language spoken most often at home","              Serbo-Croatian",,      50,,      25,,      25,,    1925,,     920,,    1010,
"Language spoken most often at home","              Slovak",,      55,,      25,,      25,,    3520,,    1680,,    1845,
"Language spoken most often at home","              Slovene (Slovenian)",,      20,,       5,,      15,,    1465,,     645,,     815,
"Language spoken most often at home","              Ukrainian",,     855,,     350,,     505,,   15415,,    6995,,    8420,
"Language spoken most often at home","              Slavic languages; n.i.e.",,       5,,       5,,       5,,     355,,     160,,     190,
"Language spoken most often at home","          Celtic languages",,       0,,       0,,       0,,     120,,      65,,      55,
"Language spoken most often at home","            Scottish Gaelic",,       0,,       0,,       0,,      60,,      30,,      25,
"Language spoken most often at home","            Welsh",,       0,,       0,,       0,,      30,,      10,,      15,
"Language spoken most often at home","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      35,,      20,,      15,
"Language spoken most often at home","          Germanic languages",,     175,,      80,,      95,,   44515,,   21630,,   22880,
"Language spoken most often at home","            Afrikaans",,       5,,       0,,       0,,     755,,     365,,     390,
"Language spoken most often at home","            Danish",,       5,,       0,,       5,,     280,,     135,,     150,
"Language spoken most often at home","            Dutch",,      10,,       5,,       5,,    4450,,    2145,,    2305,
"Language spoken most often at home","            Frisian",,       0,,       0,,       0,,      90,,      45,,      45,
"Language spoken most often at home","            German",,     140,,      65,,      75,,   37255,,   18140,,   19120,
"Language spoken most often at home","            Icelandic",,       5,,       0,,       5,,      45,,      20,,      30,
"Language spoken most often at home","            Norwegian",,       0,,       0,,       0,,      70,,      30,,      40,
"Language spoken most often at home","            Swedish",,       5,,       0,,       5,,     385,,     190,,     190,
"Language spoken most often at home","            Vlaams (Flemish)",,       5,,       0,,       5,,     145,,      60,,      85,
"Language spoken most often at home","            Yiddish",,       0,,       0,,       0,,     370,,     190,,     185,
"Language spoken most often at home","            Germanic languages; n.i.e.",,       5,,       0,,       0,,     655,,     315,,     340,
"Language spoken most often at home","          Greek",,     245,,     105,,     140,,   21700,,   10160,,   11535,
"Language spoken most often at home","          Indo-Iranian languages",,     800,,     395,,     400,,  435835,,  215755,,  220080,
"Language spoken most often at home","            Indo-Aryan languages",,     530,,     275,,     255,,  344050,,  171125,,  172920,
"Language spoken most often at home","              Bengali",,     120,,      60,,      60,,   29590,,   14595,,   14995,
"Language spoken most often at home","              Gujarati",,      60,,      35,,      25,,   45445,,   22410,,   23035,
"Language spoken most often at home","              Hindi",,     105,,      55,,      50,,   28960,,   14485,,   14475,
"Language spoken most often at home","              Kashmiri",,       0,,       0,,       0,,      65,,      30,,      35,
"Language spoken most often at home","              Konkani",,       0,,       0,,       0,,     540,,     260,,     280,
"Language spoken most often at home","              Marathi",,      15,,      10,,       5,,    2420,,    1230,,    1190,
"Language spoken most often at home","              Nepali",,      55,,      35,,      25,,    5640,,    2815,,    2820,
"Language spoken most often at home","              Oriya (Odia)",,       5,,       0,,       5,,     325,,     160,,     165,
"Language spoken most often at home","              Punjabi (Panjabi)",,      40,,      20,,      20,,  132135,,   66410,,   65725,
"Language spoken most often at home","              Sindhi",,       5,,       0,,       0,,    2880,,    1320,,    1560,
"Language spoken most often at home","              Sinhala (Sinhalese)",,       5,,       0,,       5,,    4595,,    2250,,    2345,
"Language spoken most often at home","              Urdu",,     110,,      55,,      55,,   91450,,   45160,,   46295,
"Language spoken most often at home","            Iranian languages",,     270,,     120,,     145,,   90730,,   44090,,   46640,
"Language spoken most often at home","              Kurdish",,       0,,       0,,       0,,    3675,,    1900,,    1770,
"Language spoken most often at home","              Pashto",,      10,,       5,,       0,,    6750,,    3360,,    3395,
"Language spoken most often at home","              Persian (Farsi)",,     265,,     115,,     145,,   80305,,   38830,,   41475,
"Language spoken most often at home","            Indo-Iranian languages; n.i.e.",,       5,,       0,,       0,,    1050,,     540,,     515,
"Language spoken most often at home","          Italic (Romance) languages",,    2235,,    1010,,    1225,,  265375,,  122790,,  142585,
"Language spoken most often at home","            Catalan",,       5,,       0,,       5,,     135,,      60,,      75,
"Language spoken most often at home","            Italian",,     145,,      70,,      70,,   72960,,   31195,,   41770,
"Language spoken most often at home","            Portuguese",,     815,,     375,,     435,,   67415,,   32065,,   35355,
"Language spoken most often at home","            Romanian",,     140,,      65,,      75,,   19920,,    9380,,   10535,
"Language spoken most often at home","            Spanish",,    1135,,     495,,     635,,  104820,,   50035,,   54785,
"Language spoken most often at home","            Italic (Romance) languages; n.i.e.",,       0,,       0,,       0,,     110,,      50,,      60,
"Language spoken most often at home","        Japanese",,     100,,      45,,      55,,    6040,,    2590,,    3450,
"Language spoken most often at home","        Kartvelian languages",,      10,,       5,,       5,,     770,,     420,,     355,
"Language spoken most often at home","          Georgian",,      10,,       5,,       5,,     775,,     420,,     355,
"Language spoken most often at home","        Korean",,     375,,     160,,     215,,   48540,,   22685,,   25855,
"Language spoken most often at home","        Mongolic languages",,      10,,       5,,       5,,     225,,     115,,     110,
"Language spoken most often at home","          Mongolian",,      10,,       5,,       5,,     230,,     120,,     110,
"Language spoken most often at home","        Niger-Congo languages",,      85,,      45,,      40,,   12120,,    5400,,    6725,
"Language spoken most often at home","          Akan (Twi)",,      10,,       5,,      10,,    4415,,    1915,,    2495,
"Language spoken most often at home","          Bamanankan",,       0,,       0,,       0,,      25,,      15,,      15,
"Language spoken most often at home","          Edo",,       0,,       0,,       0,,     305,,     120,,     180,
"Language spoken most often at home","          Ewe",,       0,,       0,,       0,,     135,,      60,,      80,
"Language spoken most often at home","          Fulah (Pular; Pulaar; Fulfulde)",,       0,,       0,,       0,,     110,,      55,,      55,
"Language spoken most often at home","          Ga",,       0,,       0,,       0,,     175,,      80,,     100,
"Language spoken most often at home","          Ganda",,       5,,       5,,       5,,     195,,      85,,     110,
"Language spoken most often at home","          Igbo",,       0,,       0,,       0,,     540,,     265,,     275,
"Language spoken most often at home","          Lingala",,       0,,       0,,       0,,     225,,     100,,     130,
"Language spoken most often at home","          Rundi (Kirundi)",,       0,,       0,,       0,,     475,,     230,,     240,
"Language spoken most often at home","          Kinyarwanda (Rwanda)",,       5,,       0,,       0,,     420,,     160,,     260,
"Language spoken most often at home","          Shona",,       5,,       0,,       0,,     455,,     210,,     245,
"Language spoken most often at home","          Swahili",,      20,,      10,,      10,,    2085,,     925,,    1160,
"Language spoken most often at home","          Wolof",,       5,,       0,,       0,,     130,,      65,,      65,
"Language spoken most often at home","          Yoruba",,       0,,       0,,       0,,    1300,,     625,,     675,
"Language spoken most often at home","          Niger-Congo languages; n.i.e.",,      35,,      20,,      15,,    1120,,     500,,     625,
"Language spoken most often at home","        Nilo-Saharan languages",,       0,,       0,,       0,,     550,,     260,,     290,
"Language spoken most often at home","          Dinka",,       0,,       0,,       0,,     120,,      60,,      65,
"Language spoken most often at home","          Nilo-Saharan languages; n.i.e.",,       0,,       0,,       0,,     425,,     195,,     225,
"Language spoken most often at home","        Sign languages",,      20,,      15,,       5,,    4425,,    2485,,    1940,
"Language spoken most often at home","          American Sign Language",,       5,,       5,,       0,,    1605,,     830,,     770,
"Language spoken most often at home","          Quebec Sign Language",,       0,,       0,,       0,,      25,,      15,,      15,
"Language spoken most often at home","          Sign languages; n.i.e",,      15,,      10,,       0,,    2795,,    1640,,    1150,
"Language spoken most often at home","        Sino-Tibetan languages",,    2825,,    1375,,    1455,,  448200,,  210560,,  237640,
"Language spoken most often at home","          Chinese languages",,    1140,,     520,,     615,,  441615,,  207305,,  234310,
"Language spoken most often at home","            Cantonese",,     525,,     235,,     285,,  198745,,   91545,,  107200,
"Language spoken most often at home","            Hakka",,       5,,       5,,       5,,    2870,,    1305,,    1575,
"Language spoken most often at home","            Mandarin",,     495,,     235,,     265,,  220535,,  105360,,  115175,
"Language spoken most often at home","            Min Dong",,       0,,       0,,       0,,     265,,     115,,     145,
"Language spoken most often at home","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,      45,,      20,,      25,,    5775,,    2635,,    3140,
"Language spoken most often at home","            Wu (Shanghainese)",,      10,,       5,,       5,,    3690,,    1735,,    1955,
"Language spoken most often at home","            Chinese; n.o.s.",,      55,,      25,,      25,,    9630,,    4565,,    5070,
"Language spoken most often at home","            Chinese languages; n.i.e.",,       0,,       0,,       0,,     100,,      45,,      55,
"Language spoken most often at home","          Tibeto-Burman languages",,    1690,,     855,,     835,,    6580,,    3250,,    3330,
"Language spoken most often at home","            Burmese",,      30,,      15,,      15,,    1010,,     480,,     530,
"Language spoken most often at home","            Karenic languages",,       0,,       0,,       0,,    1360,,     685,,     675,
"Language spoken most often at home","            Tibetan",,    1660,,     840,,     820,,    3875,,    1925,,    1945,
"Language spoken most often at home","            Tibeto-Burman languages; n.i.e.",,       0,,       0,,       0,,     335,,     165,,     170,
"Language spoken most often at home","        Tai-Kadai languages",,      20,,       5,,       5,,    3865,,    1845,,    2020,
"Language spoken most often at home","          Lao",,       0,,       0,,       0,,    2535,,    1220,,    1315,
"Language spoken most often at home","          Thai",,      15,,      10,,      10,,    1315,,     615,,     695,
"Language spoken most often at home","          Tai-Kadai languages; n.i.e",,       0,,       0,,       0,,      10,,       5,,      10,
"Language spoken most often at home","        Turkic languages",,      90,,      50,,      40,,   12435,,    6200,,    6230,
"Language spoken most often at home","          Azerbaijani",,       0,,       0,,       0,,     770,,     385,,     380,
"Language spoken most often at home","          Turkish",,      85,,      50,,      35,,   10545,,    5245,,    5300,
"Language spoken most often at home","          Uyghur",,       0,,       0,,       0,,     290,,     150,,     140,
"Language spoken most often at home","          Uzbek",,       5,,       5,,       0,,     585,,     290,,     295,
"Language spoken most often at home","          Turkic languages; n.i.e.",,       0,,       0,,       0,,     250,,     130,,     120,
"Language spoken most often at home","        Uralic languages",,     655,,     330,,     335,,   15330,,    6990,,    8340,
"Language spoken most often at home","          Estonian",,      60,,      25,,      30,,     790,,     290,,     500,
"Language spoken most often at home","          Finnish",,       5,,       5,,       0,,    1835,,     780,,    1050,
"Language spoken most often at home","          Hungarian",,     590,,     295,,     295,,   12700,,    5915,,    6790,
"Language spoken most often at home","          Uralic languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Other languages; n.i.e.",,       5,,       5,,       0,,     465,,     245,,     225,
"Language spoken most often at home","  Multiple responses",,    5720,,    2630,,    3095,,  790825,,  379925,,  410905,
"Language spoken most often at home","    English and French",,     300,,     120,,     185,,   45655,,   20895,,   24755,
"Language spoken most often at home","    English and non-official language",,    5250,,    2430,,    2820,,  719595,,  347730,,  371865,
"Language spoken most often at home","    French and non-official language",,      45,,      15,,      25,,    6725,,    2930,,    3795,
"Language spoken most often at home","    English; French and non-official language",,     125,,      55,,      70,,   18855,,    8365,,   10490,
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20,  106985,,   51405,,   55580,,13312865,, 6503875,, 6808990,
"Other language spoken regularly at home","  None",,   86635,,   42125,,   44510,,11071665,, 5436665,, 5635000,
"Other language spoken regularly at home","  English",,    6700,,    3130,,    3570,,  896170,,  437015,,  459155,
"Other language spoken regularly at home","  French",,    2200,,    1005,,    1200,,  243970,,  108390,,  135580,
"Other language spoken regularly at home","  Non-official language",,   10945,,    4935,,    6010,, 1056960,,  501315,,  555645,
"Other language spoken regularly at home","    Aboriginal",,      25,,      10,,      10,,   14315,,    6580,,    7735,
"Other language spoken regularly at home","    Non-Aboriginal",,   10925,,    4925,,    6000,, 1042645,,  494735,,  547910,
"Other language spoken regularly at home","  English and French",,      65,,      30,,      40,,    8150,,    3755,,    4395,
"Other language spoken regularly at home","  English and non-official language",,     180,,      75,,     115,,   19105,,    9370,,    9735,
"Other language spoken regularly at home","  French and non-official language",,     245,,     110,,     135,,   16435,,    7165,,    9270,
"Other language spoken regularly at home","  English; French and non-official language",,       5,,       5,,       5,,     415,,     205,,     215,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,   90510,,   43005,,   47505,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,   87245,,   41440,,   45805,,10556935,, 5115460,, 5441475,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   37228,,   40167,,   34685,,   33539,,   39889,,   28676,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,   87255,,   41435,,   45820,,10559805,, 5115825,, 5443975,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   33603,,   35908,,   31693,,   30641,,   35753,,   26585,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,   78090,,   37225,,   40860,, 9391800,, 4650130,, 4741675,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   39317,,   43339,,   35633,,   32871,,   39831,,   27012,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,   60380,,   26550,,   33825,, 7632575,, 3402810,, 4229770,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    1605,,     735,,    2697,,    4206,,    2034,,    5463,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,   68025,,   33160,,   34860,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   40172,,   43505,,   37051,,   33946,,   39490,,   29413,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,   90620,,   43050,,   47575,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,   87380,,   41505,,   45870,,10556925,, 5114340,, 5442580,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   57459,,   65327,,   50340,,   47915,,   56780,,   39585,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,   87390,,   41505,,   45885,,10559935,, 5114725,, 5445210,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   45580,,   50424,,   41199,,   39318,,   45443,,   33564,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,   78280,,   37195,,   41080,, 9391645,, 4649230,, 4742415,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   59386,,   68981,,   50699,,   47890,,   57511,,   38459,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,   60680,,   26755,,   33925,, 7632220,, 3402745,, 4229475,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    6133,,    5450,,    6672,,    7346,,    6763,,    7815,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,   68105,,   33150,,   34955,, 7790680,, 3995700,, 3794985,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   59076,,   67175,,   51395,,   47369,,   55263,,   39057,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,   90620,,   43050,,   47570,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24,   33225,,   17510,,   15715,, 3737385,, 2082480,, 1654900,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   63701,,   67214,,   60560,,   55121,,   60345,,   49713,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   83440,,   91770,,   74159,,   68628,,   76536,,   58676,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     92.9,,     95.0,,     90.3,,     88.9,,     92.1,,     84.7,
"Income of individuals in 2015","    Employment income (%)",29,     80.3,,     82.9,,     77.3,,     72.9,,     76.0,,     68.7,
"Income of individuals in 2015","  Government transfers (%)",30,      7.1,,      5.0,,      9.7,,     11.1,,      7.9,,     15.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,   90505,,   43005,,   47500,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without total income",,    3260,,    1565,,    1690,,  481500,,  227390,,  254115,
"Income of individuals in 2015","  With total income",,   87245,,   41435,,   45805,,10556940,, 5115460,, 5441475,
"Income of individuals in 2015","  Percentage with total income",,     96.4,,     96.3,,     96.4,,     95.6,,     95.7,,     95.5,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   12580,,    6015,,    6565,, 1615790,,  711105,,  904685,
"Income of individuals in 2015","    $10;000 to $19;999",,   14460,,    6390,,    8075,, 1829355,,  742710,, 1086645,
"Income of individuals in 2015","    $20;000 to $29;999",,   10560,,    4500,,    6065,, 1410760,,  589975,,  820785,
"Income of individuals in 2015","    $30;000 to $39;999",,    8265,,    3735,,    4535,, 1147510,,  519550,,  627955,
"Income of individuals in 2015","    $40;000 to $49;999",,    7335,,    3340,,    4000,, 1021880,,  489595,,  532285,
"Income of individuals in 2015","    $50;000 to $59;999",,    6030,,    2695,,    3335,,  809115,,  415950,,  393165,
"Income of individuals in 2015","    $60;000 to $69;999",,    5140,,    2445,,    2695,,  630635,,  348525,,  282110,
"Income of individuals in 2015","    $70;000 to $79;999",,    4160,,    1955,,    2205,,  479890,,  277725,,  202165,
"Income of individuals in 2015","    $80;000 to $89;999",,    3475,,    1660,,    1815,,  378185,,  222095,,  156095,
"Income of individuals in 2015","    $90;000 to $99;999",,    3045,,    1450,,    1600,,  324810,,  181815,,  142995,
"Income of individuals in 2015","    $100;000 and over",,   12185,,    7255,,    4930,,  909005,,  616420,,  292585,
"Income of individuals in 2015","      $100;000 to $149;999",,    6790,,    3730,,    3055,,  600995,,  394410,,  206590,
"Income of individuals in 2015","      $150;000 and over",,    5400,,    3525,,    1870,,  308010,,  222010,,   86000,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,   90510,,   43005,,   47500,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without after-tax income",,    3250,,    1570,,    1680,,  478635,,  227025,,  251610,
"Income of individuals in 2015","  With after-tax income",,   87255,,   41435,,   45820,,10559805,, 5115825,, 5443980,
"Income of individuals in 2015","  Percentage with after-tax income",,     96.4,,     96.3,,     96.5,,     95.7,,     95.8,,     95.6,
"Income of individuals in 2015","    Under $10;000 (including loss)",,   12860,,    6115,,    6745,, 1659280,,  722040,,  937235,
"Income of individuals in 2015","    $10;000 to $19;999",,   15115,,    6705,,    8415,, 1906875,,  777330,, 1129540,
"Income of individuals in 2015","    $20;000 to $29;999",,   12060,,    5255,,    6810,, 1623230,,  690290,,  932940,
"Income of individuals in 2015","    $30;000 to $39;999",,   10035,,    4530,,    5505,, 1377100,,  642645,,  734450,
"Income of individuals in 2015","    $40;000 to $49;999",,    8610,,    3860,,    4745,, 1166040,,  585490,,  580555,
"Income of individuals in 2015","    $50;000 to $59;999",,    6795,,    3205,,    3590,,  845305,,  464610,,  380700,
"Income of individuals in 2015","    $60;000 to $69;999",,    5295,,    2520,,    2775,,  604005,,  354015,,  249985,
"Income of individuals in 2015","    $70;000 to $79;999",,    4360,,    2100,,    2255,,  465485,,  268140,,  197345,
"Income of individuals in 2015","    $80;000 and over",,   12125,,    7145,,    4975,,  912490,,  611260,,  301230,
"Income of individuals in 2015","      $80;000 to $89;999",,    3230,,    1680,,    1550,,  299315,,  183410,,  115905,
"Income of individuals in 2015","      $90;000 to $99;999",,    1950,,    1090,,     860,,  174110,,  116330,,   57785,
"Income of individuals in 2015","      $100;000 and over",,    6940,,    4380,,    2560,,  439070,,  311525,,  127540,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,   90505,,   43005,,   47500,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without employment income",,   22485,,    9845,,   12640,, 3247760,, 1344515,, 1903245,
"Income of individuals in 2015","  With employment income",,   68020,,   33160,,   34860,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","  Percentage with employment income",,     75.2,,     77.1,,     73.4,,     70.6,,     74.8,,     66.6,
"Income of individuals in 2015","    Under $5;000 (including loss)",,    7750,,    3550,,    4205,, 1094860,,  546920,,  547940,
"Income of individuals in 2015","    $5;000 to $9;999",,    4950,,    2235,,    2720,,  635305,,  281135,,  354165,
"Income of individuals in 2015","    $10;000 to $19;999",,    8405,,    3815,,    4585,, 1027910,,  464445,,  563465,
"Income of individuals in 2015","    $20;000 to $29;999",,    6745,,    3095,,    3645,,  827805,,  372185,,  455625,
"Income of individuals in 2015","    $30;000 to $39;999",,    6025,,    2845,,    3180,,  767840,,  351925,,  415910,
"Income of individuals in 2015","    $40;000 to $49;999",,    5770,,    2650,,    3120,,  709775,,  341320,,  368450,
"Income of individuals in 2015","    $50;000 to $59;999",,    4815,,    2210,,    2605,,  588220,,  310155,,  278065,
"Income of individuals in 2015","    $60;000 to $69;999",,    4070,,    1950,,    2120,,  465670,,  263430,,  202240,
"Income of individuals in 2015","    $70;000 to $79;999",,    3485,,    1700,,    1785,,  369085,,  218570,,  150515,
"Income of individuals in 2015","    $80;000 and over",,   16005,,    9110,,    6900,, 1304210,,  848245,,  455970,
"Income of individuals in 2015","      $80;000 to $89;999",,    2965,,    1445,,    1520,,  307660,,  182660,,  125005,
"Income of individuals in 2015","      $90;000 to $99;999",,    2765,,    1345,,    1420,,  280530,,  156440,,  124090,
"Income of individuals in 2015","      $100;000 and over",,   10275,,    6315,,    3955,,  716015,,  509140,,  206875,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,   50290,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   65651,,,...,,...,   74287,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   57200,,,...,,...,   65285,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",,   20205,,,...,,..., 1341300,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   35968,,,...,,...,   36900,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   32403,,,...,,...,   33219,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,   30085,,,...,,..., 3827875,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   97660,,,...,,...,   90967,,,...,,...
