,,,"Canada [Country]",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language spoken most often at home","            Indo-Aryan languages",,  676185,,  337440,,  338745,,  344050,,  171125,,  172920,
"Language spoken most often at home","              Bengali",,   47350,,   23585,,   23765,,   29590,,   14595,,   14995,
"Language spoken most often at home","              Gujarati",,   64150,,   31740,,   32405,,   45445,,   22410,,   23035,
"Language spoken most often at home","              Hindi",,   55510,,   27805,,   27710,,   28960,,   14485,,   14475,
"Language spoken most often at home","              Kashmiri",,     135,,      70,,      70,,      65,,      30,,      35,
"Language spoken most often at home","              Konkani",,     720,,     355,,     370,,     540,,     260,,     280,
"Language spoken most often at home","              Marathi",,    3780,,    1940,,    1840,,    2420,,    1230,,    1190,
"Language spoken most often at home","              Nepali",,   13375,,    6710,,    6670,,    5640,,    2815,,    2820,
"Language spoken most often at home","              Oriya (Odia)",,     470,,     235,,     240,,     325,,     160,,     165,
"Language spoken most often at home","              Punjabi (Panjabi)",,  349145,,  174905,,  174240,,  132135,,   66410,,   65725,
"Language spoken most often at home","              Sindhi",,    4975,,    2280,,    2695,,    2880,,    1320,,    1560,
"Language spoken most often at home","              Sinhala (Sinhalese)",,    7790,,    3860,,    3925,,    4595,,    2250,,    2345,
"Language spoken most often at home","              Urdu",,  128785,,   63965,,   64820,,   91450,,   45160,,   46295,
"Language spoken most often at home","            Iranian languages",,  160195,,   78310,,   81880,,   90730,,   44090,,   46640,
"Language spoken most often at home","              Kurdish",,    6580,,    3400,,    3175,,    3675,,    1900,,    1770,
"Language spoken most often at home","              Pashto",,   10590,,    5305,,    5290,,    6750,,    3360,,    3395,
"Language spoken most often at home","              Persian (Farsi)",,  143020,,   69600,,   73425,,   80305,,   38830,,   41475,
"Language spoken most often at home","            Indo-Iranian languages; n.i.e.",,    2375,,    1215,,    1160,,    1050,,     540,,     515,
"Language spoken most often at home","          Italic (Romance) languages",,  531485,,  251050,,  280440,,  265375,,  122790,,  142585,
"Language spoken most often at home","            Catalan",,     355,,     165,,     190,,     135,,      60,,      75,
"Language spoken most often at home","            Italian",,  115415,,   49975,,   65440,,   72960,,   31195,,   41770,
"Language spoken most often at home","            Portuguese",,   98710,,   46915,,   51795,,   67415,,   32065,,   35355,
"Language spoken most often at home","            Romanian",,   53320,,   25795,,   27525,,   19920,,    9380,,   10535,
"Language spoken most often at home","            Spanish",,  263510,,  128110,,  135400,,  104820,,   50035,,   54785,
"Language spoken most often at home","            Italic (Romance) languages; n.i.e.",,     180,,      85,,      95,,     110,,      50,,      60,
"Language spoken most often at home","        Japanese",,   19785,,    8265,,   11515,,    6040,,    2590,,    3450,
"Language spoken most often at home","        Kartvelian languages",,    1040,,     565,,     475,,     770,,     420,,     355,
"Language spoken most often at home","          Georgian",,    1035,,     565,,     475,,     775,,     420,,     355,
"Language spoken most often at home","        Korean",,  109705,,   51385,,   58320,,   48540,,   22685,,   25855,
"Language spoken most often at home","        Mongolic languages",,     910,,     440,,     470,,     225,,     115,,     110,
"Language spoken most often at home","          Mongolian",,     910,,     435,,     470,,     230,,     120,,     110,
"Language spoken most often at home","        Niger-Congo languages",,   28665,,   13340,,   15320,,   12120,,    5400,,    6725,
"Language spoken most often at home","          Akan (Twi)",,    5990,,    2695,,    3295,,    4415,,    1915,,    2495,
"Language spoken most often at home","          Bamanankan",,     340,,     180,,     160,,      25,,      15,,      15,
"Language spoken most often at home","          Edo",,     415,,     175,,     240,,     305,,     120,,     180,
"Language spoken most often at home","          Ewe",,     410,,     185,,     225,,     135,,      60,,      80,
"Language spoken most often at home","          Fulah (Pular; Pulaar; Fulfulde)",,     825,,     400,,     425,,     110,,      55,,      55,
"Language spoken most often at home","          Ga",,     250,,     105,,     140,,     175,,      80,,     100,
"Language spoken most often at home","          Ganda",,     345,,     160,,     185,,     195,,      85,,     110,
"Language spoken most often at home","          Igbo",,    1000,,     485,,     510,,     540,,     265,,     275,
"Language spoken most often at home","          Lingala",,    1045,,     455,,     590,,     225,,     100,,     130,
"Language spoken most often at home","          Rundi (Kirundi)",,    2110,,     990,,    1115,,     475,,     230,,     240,
"Language spoken most often at home","          Kinyarwanda (Rwanda)",,    1530,,     670,,     865,,     420,,     160,,     260,
"Language spoken most often at home","          Shona",,    1035,,     475,,     560,,     455,,     210,,     245,
"Language spoken most often at home","          Swahili",,    5370,,    2500,,    2870,,    2085,,     925,,    1160,
"Language spoken most often at home","          Wolof",,    1380,,     745,,     635,,     130,,      65,,      65,
"Language spoken most often at home","          Yoruba",,    2615,,    1275,,    1340,,    1300,,     625,,     675,
"Language spoken most often at home","          Niger-Congo languages; n.i.e.",,    4010,,    1850,,    2160,,    1120,,     500,,     625,
"Language spoken most often at home","        Nilo-Saharan languages",,    2650,,    1305,,    1350,,     550,,     260,,     290,
"Language spoken most often at home","          Dinka",,    1130,,     580,,     550,,     120,,      60,,      65,
"Language spoken most often at home","          Nilo-Saharan languages; n.i.e.",,    1525,,     730,,     800,,     425,,     195,,     225,
"Language spoken most often at home","        Sign languages",,   10445,,    5870,,    4570,,    4425,,    2485,,    1940,
"Language spoken most often at home","          American Sign Language",,    3015,,    1560,,    1460,,    1605,,     830,,     770,
"Language spoken most often at home","          Quebec Sign Language",,     730,,     375,,     355,,      25,,      15,,      15,
"Language spoken most often at home","          Sign languages; n.i.e",,    6690,,    3935,,    2755,,    2795,,    1640,,    1150,
"Language spoken most often at home","        Sino-Tibetan languages",,  924720,,  433530,,  491190,,  448200,,  210560,,  237640,
"Language spoken most often at home","          Chinese languages",,  913365,,  427860,,  485505,,  441615,,  207305,,  234310,
"Language spoken most often at home","            Cantonese",,  400215,,  184340,,  215885,,  198745,,   91545,,  107200,
"Language spoken most often at home","            Hakka",,    4080,,    1820,,    2265,,    2870,,    1305,,    1575,
"Language spoken most often at home","            Mandarin",,  462890,,  220075,,  242815,,  220535,,  105360,,  115175,
"Language spoken most often at home","            Min Dong",,     345,,     150,,     195,,     265,,     115,,     145,
"Language spoken most often at home","            Min Nan (Chaochow; Teochow; Fukien; Taiwanese)",,   13965,,    6345,,    7625,,    5775,,    2635,,    3140,
"Language spoken most often at home","            Wu (Shanghainese)",,    7650,,    3580,,    4075,,    3690,,    1735,,    1955,
"Language spoken most often at home","            Chinese; n.o.s.",,   23935,,   11440,,   12500,,    9630,,    4565,,    5070,
"Language spoken most often at home","            Chinese languages; n.i.e.",,     280,,     130,,     150,,     100,,      45,,      55,
"Language spoken most often at home","          Tibeto-Burman languages",,   11350,,    5670,,    5680,,    6580,,    3250,,    3330,
"Language spoken most often at home","            Burmese",,    2245,,    1115,,    1125,,    1010,,     480,,     530,
"Language spoken most often at home","            Karenic languages",,    3865,,    1935,,    1930,,    1360,,     685,,     675,
"Language spoken most often at home","            Tibetan",,    4590,,    2305,,    2280,,    3875,,    1925,,    1945,
"Language spoken most often at home","            Tibeto-Burman languages; n.i.e.",,     655,,     305,,     345,,     335,,     165,,     170,
"Language spoken most often at home","        Tai-Kadai languages",,    9565,,    4455,,    5110,,    3865,,    1845,,    2020,
"Language spoken most often at home","          Lao",,    6175,,    2995,,    3180,,    2535,,    1220,,    1315,
"Language spoken most often at home","          Thai",,    3360,,    1450,,    1915,,    1315,,     615,,     695,
"Language spoken most often at home","          Tai-Kadai languages; n.i.e",,      30,,      15,,      15,,      10,,       5,,      10,
"Language spoken most often at home","        Turkic languages",,   22250,,   11205,,   11045,,   12435,,    6200,,    6230,
"Language spoken most often at home","          Azerbaijani",,    1245,,     640,,     610,,     770,,     385,,     380,
"Language spoken most often at home","          Turkish",,   18955,,    9525,,    9430,,   10545,,    5245,,    5300,
"Language spoken most often at home","          Uyghur",,     610,,     315,,     290,,     290,,     150,,     140,
"Language spoken most often at home","          Uzbek",,     990,,     505,,     490,,     585,,     290,,     295,
"Language spoken most often at home","          Turkic languages; n.i.e.",,     455,,     230,,     225,,     250,,     130,,     120,
"Language spoken most often at home","        Uralic languages",,   23245,,   10715,,   12535,,   15330,,    6990,,    8340,
"Language spoken most often at home","          Estonian",,     975,,     365,,     610,,     790,,     290,,     500,
"Language spoken most often at home","          Finnish",,    2790,,    1220,,    1565,,    1835,,     780,,    1050,
"Language spoken most often at home","          Hungarian",,   19485,,    9125,,   10355,,   12700,,    5915,,    6790,
"Language spoken most often at home","          Uralic languages; n.i.e.",,       5,,       0,,       0,,       0,,       0,,       0,
"Language spoken most often at home","        Other languages; n.i.e.",,    1110,,     605,,     500,,     465,,     245,,     225,
"Language spoken most often at home","  Multiple responses",, 1663390,,  802695,,  860690,,  790825,,  379925,,  410905,
"Language spoken most often at home","    English and French",,  160185,,   77940,,   82235,,   45655,,   20895,,   24755,
"Language spoken most often at home","    English and non-official language",, 1284975,,  620375,,  664600,,  719595,,  347730,,  371865,
"Language spoken most often at home","    French and non-official language",,  148915,,   70915,,   78000,,    6725,,    2930,,    3795,
"Language spoken most often at home","    English; French and non-official language",,   69315,,   33465,,   35850,,   18855,,    8365,,   10490,
"Other language spoken regularly at home","Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data",20,34767255,,17101165,,17666080,,13312865,, 6503875,, 6808990,
"Other language spoken regularly at home","  None",,29615245,,14612175,,15003065,,11071665,, 5436665,, 5635000,
"Other language spoken regularly at home","  English",, 2109340,, 1045215,, 1064120,,  896170,,  437015,,  459155,
"Other language spoken regularly at home","  French",,  731095,,  342245,,  388855,,  243970,,  108390,,  135580,
"Other language spoken regularly at home","  Non-official language",, 2151690,, 1023940,, 1127750,, 1056960,,  501315,,  555645,
"Other language spoken regularly at home","    Aboriginal",,   90740,,   42890,,   47850,,   14315,,    6580,,    7735,
"Other language spoken regularly at home","    Non-Aboriginal",, 2060945,,  981055,, 1079895,, 1042645,,  494735,,  547910,
"Other language spoken regularly at home","  English and French",,   47970,,   23785,,   24190,,    8150,,    3755,,    4395,
"Other language spoken regularly at home","  English and non-official language",,   61075,,   30045,,   31030,,   19105,,    9370,,    9735,
"Other language spoken regularly at home","  French and non-official language",,   48755,,   22690,,   26065,,   16435,,    7165,,    9270,
"Other language spoken regularly at home","  English; French and non-official language",,    2080,,    1075,,    1010,,     415,,     205,,     215,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data",21,28642980,,13990620,,14652355,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 100% data",,27488530,,13444335,,14044190,,10556935,, 5115460,, 5441475,
"Income of individuals in 2015","    Median total income in 2015 among recipients ($)",,   34204,,   40782,,   28860,,   33539,,   39889,,   28676,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 100% data",,27499185,,13449010,,14050175,,10559805,, 5115825,, 5443975,
"Income of individuals in 2015","    Median after-tax income in 2015 among recipients ($)",,   30866,,   35933,,   26621,,   30641,,   35753,,   26585,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 100% data",,24583315,,12296595,,12286725,, 9391800,, 4650130,, 4741675,
"Income of individuals in 2015","    Median market income in 2015 among recipients ($)",,   32762,,   39925,,   26613,,   32871,,   39831,,   27012,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 100% data",,19743240,, 8755815,,10987430,, 7632575,, 3402810,, 4229770,
"Income of individuals in 2015","    Median government transfers in 2015 among recipients ($)",,    5453,,    4199,,    6136,,    4206,,    2034,,    5463,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 100% data",,20428685,,10547760,, 9880925,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","    Median employment income in 2015 among recipients ($)",,   33684,,   39836,,   28474,,   33946,,   39490,,   29413,
"Income of individuals in 2015","Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data",22,28643015,,13990430,,14652585,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,27489395,,13441555,,14047845,,10556925,, 5114340,, 5442580,
"Income of individuals in 2015","    Average total income in 2015 among recipients ($)",,   47487,,   56740,,   38632,,   47915,,   56780,,   39585,
"Income of individuals in 2015","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,27500230,,13446230,,14053995,,10559935,, 5114725,, 5445210,
"Income of individuals in 2015","    Average after-tax income in 2015 among recipients ($)",,   38977,,   45404,,   32828,,   39318,,   45443,,   33564,
"Income of individuals in 2015","  Number of market income recipients aged 15 years and over in private households - 25% sample data",,24584065,,12295015,,12289055,, 9391645,, 4649230,, 4742415,
"Income of individuals in 2015","    Average market income in 2015 among recipients ($)",,   46885,,   56803,,   36962,,   47890,,   57511,,   38459,
"Income of individuals in 2015","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,19742130,, 8752070,,10990060,, 7632220,, 3402745,, 4229475,
"Income of individuals in 2015","    Average government transfers in 2015 among recipients ($)",,    7738,,    7345,,    8050,,    7346,,    6763,,    7815,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,20428670,,10542540,, 9886130,, 7790680,, 3995700,, 3794985,
"Income of individuals in 2015","    Average employment income in 2015 among recipients ($)",,   46057,,   54369,,   37193,,   47369,,   55263,,   39057,
"Income of individuals in 2015","Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data",23,28643015,,13990430,,14652585,,11038440,, 5342755,, 5695685,
"Income of individuals in 2015","  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data",24, 9367045,, 5231015,, 4136035,, 3737385,, 2082480,, 1654900,
"Income of individuals in 2015","    Median employment income in 2015 for full-year full-time workers ($)",25,   53431,,   59326,,   47420,,   55121,,   60345,,   49713,
"Income of individuals in 2015","    Average employment income in 2015 for full-year full-time workers ($)",26,   65997,,   74289,,   55510,,   68628,,   76536,,   58676,
"Income of individuals in 2015","Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data",27,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,,    100.0,
"Income of individuals in 2015","  Market income (%)",28,     88.3,,     91.6,,     83.7,,     88.9,,     92.1,,     84.7,
"Income of individuals in 2015","    Employment income (%)",29,     72.0,,     75.2,,     67.7,,     72.9,,     76.0,,     68.7,
"Income of individuals in 2015","  Government transfers (%)",30,     11.7,,      8.4,,     16.3,,     11.1,,      7.9,,     15.3,
"Income of individuals in 2015","Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data",31,28642980,,13990620,,14652360,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without total income",, 1154450,,  546285,,  608165,,  481500,,  227390,,  254115,
"Income of individuals in 2015","  With total income",,27488530,,13444335,,14044195,,10556940,, 5115460,, 5441475,
"Income of individuals in 2015","  Percentage with total income",,     96.0,,     96.1,,     95.8,,     95.6,,     95.7,,     95.5,
"Income of individuals in 2015","    Under $10;000 (including loss)",, 3877620,, 1668960,, 2208655,, 1615790,,  711105,,  904685,
"Income of individuals in 2015","    $10;000 to $19;999",, 4680380,, 1867600,, 2812785,, 1829355,,  742710,, 1086645,
"Income of individuals in 2015","    $20;000 to $29;999",, 3807840,, 1593335,, 2214505,, 1410760,,  589975,,  820785,
"Income of individuals in 2015","    $30;000 to $39;999",, 3206175,, 1472670,, 1733510,, 1147510,,  519550,,  627955,
"Income of individuals in 2015","    $40;000 to $49;999",, 2827045,, 1376565,, 1450480,, 1021880,,  489595,,  532285,
"Income of individuals in 2015","    $50;000 to $59;999",, 2179775,, 1145685,, 1034090,,  809115,,  415950,,  393165,
"Income of individuals in 2015","    $60;000 to $69;999",, 1655070,,  938755,,  716310,,  630635,,  348525,,  282110,
"Income of individuals in 2015","    $70;000 to $79;999",, 1271850,,  745830,,  526015,,  479890,,  277725,,  202165,
"Income of individuals in 2015","    $80;000 to $89;999",,  966885,,  579290,,  387590,,  378185,,  222095,,  156095,
"Income of individuals in 2015","    $90;000 to $99;999",,  749290,,  452240,,  297050,,  324810,,  181815,,  142995,
"Income of individuals in 2015","    $100;000 and over",, 2266600,, 1603400,,  663195,,  909005,,  616420,,  292585,
"Income of individuals in 2015","      $100;000 to $149;999",, 1493570,, 1024210,,  469365,,  600995,,  394410,,  206590,
"Income of individuals in 2015","      $150;000 and over",,  773025,,  579190,,  193830,,  308010,,  222010,,   86000,
"Income of individuals in 2015","Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data",32,28642980,,13990620,,14652360,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without after-tax income",, 1143795,,  541620,,  602175,,  478635,,  227025,,  251610,
"Income of individuals in 2015","  With after-tax income",,27499185,,13449010,,14050175,,10559805,, 5115825,, 5443980,
"Income of individuals in 2015","  Percentage with after-tax income",,     96.0,,     96.1,,     95.9,,     95.7,,     95.8,,     95.6,
"Income of individuals in 2015","    Under $10;000 (including loss)",, 4004475,, 1706825,, 2297645,, 1659280,,  722040,,  937235,
"Income of individuals in 2015","    $10;000 to $19;999",, 4905055,, 1972920,, 2932130,, 1906875,,  777330,, 1129540,
"Income of individuals in 2015","    $20;000 to $29;999",, 4489925,, 1926175,, 2563755,, 1623230,,  690290,,  932940,
"Income of individuals in 2015","    $30;000 to $39;999",, 3924960,, 1870705,, 2054250,, 1377100,,  642645,,  734450,
"Income of individuals in 2015","    $40;000 to $49;999",, 3144200,, 1619670,, 1524525,, 1166040,,  585490,,  580555,
"Income of individuals in 2015","    $50;000 to $59;999",, 2209280,, 1245570,,  963705,,  845305,,  464610,,  380700,
"Income of individuals in 2015","    $60;000 to $69;999",, 1540300,,  912230,,  628065,,  604005,,  354015,,  249985,
"Income of individuals in 2015","    $70;000 to $79;999",, 1076180,,  654570,,  421610,,  465485,,  268140,,  197345,
"Income of individuals in 2015","    $80;000 and over",, 2204820,, 1540335,,  664485,,  912490,,  611260,,  301230,
"Income of individuals in 2015","      $80;000 to $89;999",,  688705,,  444550,,  244145,,  299315,,  183410,,  115905,
"Income of individuals in 2015","      $90;000 to $99;999",,  420975,,  291090,,  129885,,  174110,,  116330,,   57785,
"Income of individuals in 2015","      $100;000 and over",, 1095140,,  804690,,  290445,,  439070,,  311525,,  127540,
"Income of individuals in 2015","Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data",33,28642980,,13990625,,14652360,,11038440,, 5342850,, 5695590,
"Income of individuals in 2015","  Without employment income",, 8214295,, 3442860,, 4771430,, 3247760,, 1344515,, 1903245,
"Income of individuals in 2015","  With employment income",,20428690,,10547760,, 9880925,, 7790680,, 3998335,, 3792350,
"Income of individuals in 2015","  Percentage with employment income",,     71.3,,     75.4,,     67.4,,     70.6,,     74.8,,     66.6,
"Income of individuals in 2015","    Under $5;000 (including loss)",, 2778990,, 1357430,, 1421560,, 1094860,,  546920,,  547940,
"Income of individuals in 2015","    $5;000 to $9;999",, 1602140,,  697025,,  905120,,  635305,,  281135,,  354165,
"Income of individuals in 2015","    $10;000 to $19;999",, 2736010,, 1212855,, 1523155,, 1027910,,  464445,,  563465,
"Income of individuals in 2015","    $20;000 to $29;999",, 2293785,, 1022090,, 1271695,,  827805,,  372185,,  455625,
"Income of individuals in 2015","    $30;000 to $39;999",, 2149860,, 1001065,, 1148795,,  767840,,  351925,,  415910,
"Income of individuals in 2015","    $40;000 to $49;999",, 1928565,,  946625,,  981940,,  709775,,  341320,,  368450,
"Income of individuals in 2015","    $50;000 to $59;999",, 1554100,,  839045,,  715055,,  588220,,  310155,,  278065,
"Income of individuals in 2015","    $60;000 to $69;999",, 1220310,,  708270,,  512040,,  465670,,  263430,,  202240,
"Income of individuals in 2015","    $70;000 to $79;999",,  992170,,  591945,,  400225,,  369085,,  218570,,  150515,
"Income of individuals in 2015","    $80;000 and over",, 3172770,, 2171415,, 1001355,, 1304210,,  848245,,  455970,
"Income of individuals in 2015","      $80;000 to $89;999",,  773755,,  475700,,  298055,,  307660,,  182660,,  125005,
"Income of individuals in 2015","      $90;000 to $99;999",,  623980,,  382330,,  241650,,  280530,,  156440,,  124090,
"Income of individuals in 2015","      $100;000 and over",, 1775030,, 1313385,,  461645,,  716015,,  509140,,  206875,
"Income of households in 2015","Total - Income statistics in 2015 for private households by household size - 100% data",34,14072080,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Median total income of households in 2015 ($)",,   70336,,,...,,...,   74287,,,...,,...
"Income of households in 2015","  Median after-tax income of households in 2015 ($)",,   61348,,,...,,...,   65285,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 100% data",, 3969790,,,...,,..., 1341300,,,...,,...
"Income of households in 2015","      Median total income of one-person households in 2015 ($)",,   35174,,,...,,...,   36900,,,...,,...
"Income of households in 2015","      Median after-tax income of one-person households in 2015 ($)",,   31446,,,...,,...,   33219,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 100% data",,10102290,,,...,,..., 3827875,,,...,,...
"Income of households in 2015","      Median total income of two-or-more-person households in 2015 ($)",,   88249,,,...,,...,   90967,,,...,,...
"Income of households in 2015","      Median after-tax income of two-or-more-person households in 2015 ($)",,   76419,,,...,,...,   79528,,,...,,...
"Income of households in 2015","Total - Income statistics in 2015�for private households by household size - 25% sample�data",35,14072075,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Average total income of households in 2015 ($)",,   92764,,,...,,...,   97856,,,...,,...
"Income of households in 2015","  Average after-tax income of households in 2015 ($)",,   76171,,,...,,...,   80322,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for one-person private households - 25% sample data",, 3967765,,,...,,..., 1341115,,,...,,...
"Income of households in 2015","      Average total income of one-person households in 2015 ($)",,   46799,,,...,,...,   49571,,,...,,...
"Income of households in 2015","      Average after-tax income of one-person households in 2015 ($)",,   38685,,,...,,...,   40830,,,...,,...
"Income of households in 2015","    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data",,10104315,,,...,,..., 3828060,,,...,,...
"Income of households in 2015","      Average total income of two-or-more-person households in 2015 ($)",,  110813,,,...,,...,  114773,,,...,,...
"Income of households in 2015","      Average after-tax income of two-or-more-person households in 2015 ($)",,   90890,,,...,,...,   94157,,,...,,...
"Income of households in 2015","Total - Household total income groups in 2015 for private households - 100% data",36,14072075,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,  228790,,,...,,...,   86720,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,  200315,,,...,,...,   70245,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,  374575,,,...,,...,  134395,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,  565940,,,...,,...,  185245,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,  602800,,,...,,...,  200770,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,  538710,,,...,,...,  189450,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,  603480,,,...,,...,  202580,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,  606600,,,...,,...,  207180,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,  596110,,,...,,...,  206605,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,  578325,,,...,,...,  202015,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",, 1097345,,,...,,...,  388820,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",, 1010415,,,...,,...,  363580,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",,  924320,,,...,,...,  335770,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,  836765,,,...,,...,  309105,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,  745655,,,...,,...,  282740,,,...,,...
"Income of households in 2015","  $100;000 and over",, 4561920,,,...,,..., 1803955,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",, 1470255,,,...,,...,  560090,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",, 1016245,,,...,,...,  394570,,,...,,...
"Income of households in 2015","    $150;000 to $199;999",, 1116140,,,...,,...,  449885,,,...,,...
"Income of households in 2015","    $200;000 and over",,  959285,,,...,,...,  399410,,,...,,...
"Income of households in 2015","Total - Household after-tax income groups in 2015 for private households - 100% data",32,14072075,,,...,,..., 5169175,,,...,,...
"Income of households in 2015","  Under $5;000",,  243780,,,...,,...,   92220,,,...,,...
"Income of households in 2015","  $5;000 to $9;999",,  203865,,,...,,...,   71480,,,...,,...
"Income of households in 2015","  $10;000 to $14;999",,  380680,,,...,,...,  136550,,,...,,...
"Income of households in 2015","  $15;000 to $19;999",,  591660,,,...,,...,  192920,,,...,,...
"Income of households in 2015","  $20;000 to $24;999",,  673740,,,...,,...,  222605,,,...,,...
"Income of households in 2015","  $25;000 to $29;999",,  628225,,,...,,...,  211440,,,...,,...
"Income of households in 2015","  $30;000 to $34;999",,  719825,,,...,,...,  232755,,,...,,...
"Income of households in 2015","  $35;000 to $39;999",,  725675,,,...,,...,  244335,,,...,,...
"Income of households in 2015","  $40;000 to $44;999",,  711180,,,...,,...,  247645,,,...,,...
"Income of households in 2015","  $45;000 to $49;999",,  691695,,,...,,...,  241965,,,...,,...
"Income of households in 2015","  $50;000 to $59;999",, 1299680,,,...,,...,  463170,,,...,,...
"Income of households in 2015","  $60;000 to $69;999",, 1169515,,,...,,...,  422695,,,...,,...
"Income of households in 2015","  $70;000 to $79;999",, 1041635,,,...,,...,  388720,,,...,,...
"Income of households in 2015","  $80;000 to $89;999",,  900055,,,...,,...,  342330,,,...,,...
"Income of households in 2015","  $90;000 to $99;999",,  757295,,,...,,...,  290720,,,...,,...
"Income of households in 2015","  $100;000 and over",, 3333575,,,...,,..., 1367630,,,...,,...
"Income of households in 2015","    $100;000 to $124;999",, 1371945,,,...,,...,  539915,,,...,,...
"Income of households in 2015","    $125;000 to $149;999",,  809540,,,...,,...,  334420,,,...,,...
"Income of households in 2015","    $150;000 and over",, 1152090,,,...,,...,  493295,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for economic families in private households - 100% data",37, 9688845,,,...,,..., 3689580,,,...,,...
"Income of economic families in 2015","  Median total income of economic families in 2015 ($)",,   88306,,,...,,...,   91089,,,...,,...
"Income of economic families in 2015","  Median after-tax income of economic families in 2015 ($)",,   76372,,,...,,...,   79531,,,...,,...
"Income of economic families in 2015","  Average family size of economic families",,      3.0,,,...,,...,      3.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data",, 3706220,,,...,,..., 1280890,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families without children or other relatives in 2015 ($)",,   78976,,,...,,...,   81459,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families without children or other relatives in 2015 ($)",,   68309,,,...,,...,   71237,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families without children or other relatives",,      2.0,,,...,,...,      2.0,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for couple economic families with children in private households - 100% data",, 4222140,,,...,,..., 1716115,,,...,,...
"Income of economic families in 2015","  Median total income of couple economic families with children in 2015 ($)",,  113465,,,...,,...,  115381,,,...,,...
"Income of economic families in 2015","  Median after-tax income of couple economic families with children in 2015 ($)",,   96608,,,...,,...,   99205,,,...,,...
"Income of economic families in 2015","  Average family size of couple economic families with children",,      4.0,,,...,,...,      4.1,,,...,,...
"Income of economic families in 2015","Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data",, 1481410,,,...,,...,  584180,,,...,,...
"Income of economic families in 2015","  Median total income of lone-parent economic families in 2015 ($)",,   53193,,,...,,...,   54363,,,...,,...
"Income of economic families in 2015","  Median after-tax income of lone-parent economic families in 2015 ($)",,   48856,,,...,,...,   50317,,,...,,...
"Income of economic families in 2015","  Average family size of lone-parent economic families",,      2.7,,,...,,...,      2.7,,,...,,...
